_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
225,Çumra,GÜVERCİNLİK,"KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
226,Çumra,KARKIN,"KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
227,Çumra,OKÇU,"ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
228,Çumra,YENİSU,"FİĞ, ARPA, YONCA, SİLAJLIK MISIR"
229,Çumra,APA,"YULAF, KÜSPE, ARPA"
230,Çumra,ABDİTOLU,"FİĞ, KÜSPE, YONCA, SİLAJLIK MISIR, HAZIR YEM"
231,Çumra,ADAKALE,"BUĞDAY, FİĞ, KÜSPE, ARPA"
232,Çumra,ALEMDAR,"BUĞDAY, KÜSPE, YONCA, SİLAJLIK MISIR"
233,Çumra,APASARAYCIK,"KÜSPE, HAZIR YEM"
234,Çumra,AFŞAR,"BUĞDAY, ARPA, HAZIR YEM"
235,Çumra,AVDUL,"FİĞ, KÜSPE, YONCA, SİLAJLIK MISIR, HAZIR YEM"
236,Çumra,BALÇIKHİSAR,"KÜSPE, SİLAJLIK MISIR"
237,Çumra,BEYLERCE,"BUĞDAY, FİĞ, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
238,Çumra,B.AŞLAMA,"ARPA, YONCA, SİLAJLIK MISIR"
239,Çumra,CİCEK,"BUĞDAY, YULAF, ARPA, YONCA, HAZIR YEM"
240,Çumra,ÇUKURKAVAK,"SAMAN, HAZIR YEM"
241,Çumra,DİNLENDİK,"FİĞ, YONCA"
242,Çumra,DİNEKSARAY,"SAMAN, HAZIR YEM"
243,Çumra,DOĞANLI,"ARPA, YONCA, SİLAJLIK MISIR"
244,Çumra,FETHİYE,"BUĞDAY, KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
245,Çumra,GÖKHÜYÜK,"KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR"
246,Çumra,ERENTEPE,"ARPA, SİLAJLIK MISIR, HAZIR YEM"
247,Çumra,İNLİ,"FİĞ, KÜSPE, YONCA, SİLAJLIK MISIR, HAZIR YEM"
248,Çumra,KUZUCU,"KÜSPE, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
249,Çumra,KÜÇÜKKÖY,"YONCA, SİLAJLIK MISIR, HAZIR YEM"
250,Çumra,SEÇME,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
251,Çumra,SÜRGÜÇ,"YONCA, HAZIR YEM"
252,Çumra,TAHTALI,"FİĞ, KÜSPE, ARPA, HAZIR YEM"
253,Çumra,T.KARAHÜYÜK,"BUĞDAY, ARPA, SİLAJLIK MISIR, HAZIR YEM"
254,Çumra,TAŞAĞIL,"KÜSPE, ARPA, HAZIR YEM"
255,Çumra,UZUNKUYU,"KÜSPE, SİLAJLIK MISIR, HAZIR YEM"
256,Çumra,ÜÇHÜYÜK,"KÜSPE, SAMAN, HAZIR YEM"
257,Çumra,ÜRÜNLÜ,"YONCA, SİLAJLIK MISIR, HAZIR YEM"
258,Çumra,YÖRÜKCAMİLİ,"KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR"
259,Çumra,ÇAYBAŞI,"FİĞ, KÜSPE, SAMAN, YONCA, HAZIR YEM"
260,Derbent,ÇİFTLİKÖZÜ,"ARPA, SAMAN"
261,Derbent,DEĞİŞ,"ARPA, SAMAN, HAZIR YEM"
262,Derbent,TEKKE,"YULAF, KÜSPE, ARPA, SAMAN"
263,Derbent,GÜNEYKÖY,"YULAF, KEPEK, ARPA, HAZIR YEM"
264,Derbent,MÜLAYİM,"YULAF, ARPA, ÇAVDAR, HAZIR YEM"
265,Derbent,SARAYPINAR,"YULAF, FİĞ, ARPA, SAMAN, YONCA, HAZIR YEM"
266,Derbent,YASSIÖREN,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
267,Derbent,SÜLEYMAN,"KÜSPE, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
268,Derbent,KARALAR,"FİĞ, SAMAN, YONCA, SİLAJLIK MISIR"
269,Derebucak,ÇAMLIK,"SAMAN, HAZIR YEM"
270,Derebucak,DURAK,"ARPA, SAMAN"
271,Derebucak,GENCEK,"ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
272,Derebucak,GÖYNEM,"FİĞ, SAMAN"
273,Derebucak,PINARBAŞI,"FİĞ, ARPA, YONCA"
