,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
588,2020-01-26,06:00:00,7,7
589,2020-01-26,07:00:00,150,149
590,2020-01-26,08:00:00,463,457
591,2020-01-26,09:00:00,718,703
592,2020-01-26,10:00:00,845,837
593,2020-01-26,11:00:00,1358,1338
594,2020-01-26,12:00:00,2003,1973
595,2020-01-26,13:00:00,2277,2249
596,2020-01-26,14:00:00,2359,2324
597,2020-01-26,15:00:00,2282,2252
598,2020-01-26,16:00:00,2390,2348
599,2020-01-26,17:00:00,2446,2412
600,2020-01-26,18:00:00,2106,2057
601,2020-01-26,19:00:00,1531,1513
602,2020-01-26,20:00:00,1141,1128
603,2020-01-26,21:00:00,1035,1025
604,2020-01-26,22:00:00,709,696
605,2020-01-26,23:00:00,286,281
606,2020-01-27,00:00:00,59,58
607,2020-01-27,01:00:00,4,4
608,2020-01-27,02:00:00,4,4
609,2020-01-27,03:00:00,1,1
610,2020-01-27,05:00:00,4,4
611,2020-01-27,06:00:00,120,119
612,2020-01-27,07:00:00,1868,1854
613,2020-01-27,08:00:00,2387,2361
614,2020-01-27,09:00:00,2320,2288
615,2020-01-27,10:00:00,2276,2245
616,2020-01-27,11:00:00,2914,2867
617,2020-01-27,12:00:00,3595,3549
618,2020-01-27,13:00:00,3150,3109
619,2020-01-27,14:00:00,3214,3177
620,2020-01-27,15:00:00,2888,2853
621,2020-01-27,16:00:00,2890,2851
622,2020-01-27,17:00:00,2871,2844
623,2020-01-27,18:00:00,2771,2741
624,2020-01-27,19:00:00,2181,2157
625,2020-01-27,20:00:00,1315,1292
626,2020-01-27,21:00:00,889,869
627,2020-01-27,22:00:00,648,638
628,2020-01-27,23:00:00,274,272
629,2020-01-28,00:00:00,52,52
630,2020-01-28,01:00:00,3,3
631,2020-01-28,02:00:00,3,3
632,2020-01-28,03:00:00,1,1
633,2020-01-28,04:00:00,1,1
634,2020-01-28,05:00:00,3,3
635,2020-01-28,06:00:00,88,87
636,2020-01-28,07:00:00,1327,1310
637,2020-01-28,08:00:00,1895,1887
638,2020-01-28,09:00:00,1958,1934
639,2020-01-28,10:00:00,2233,2206
640,2020-01-28,11:00:00,2862,2821
641,2020-01-28,12:00:00,3210,3169
642,2020-01-28,13:00:00,2936,2895
643,2020-01-28,14:00:00,2645,2592
644,2020-01-28,15:00:00,2434,2390
645,2020-01-28,16:00:00,2519,2488
646,2020-01-28,17:00:00,2403,2360
647,2020-01-28,18:00:00,2532,2509
648,2020-01-28,19:00:00,1962,1936
649,2020-01-28,20:00:00,1192,1178
650,2020-01-28,21:00:00,796,784
651,2020-01-28,22:00:00,599,590
652,2020-01-28,23:00:00,252,249
653,2020-01-29,00:00:00,63,63
654,2020-01-29,01:00:00,12,11
655,2020-01-29,02:00:00,4,4
656,2020-01-29,03:00:00,3,3
657,2020-01-29,04:00:00,1,1
658,2020-01-29,05:00:00,1,1
659,2020-01-29,06:00:00,70,70
660,2020-01-29,07:00:00,1191,1176
661,2020-01-29,08:00:00,1911,1897
662,2020-01-29,09:00:00,2000,1976
663,2020-01-29,10:00:00,2138,2111
664,2020-01-29,11:00:00,2684,2658
665,2020-01-29,12:00:00,3434,3406
666,2020-01-29,13:00:00,3169,3129
667,2020-01-29,14:00:00,2770,2723
668,2020-01-29,15:00:00,2771,2737
