tarih_saat,yukleme_adedi,yukleme_yapilan_kart_adedi
2021-02-04 11:00:00,1175,1162
2021-02-04 12:00:00,1466,1455
2021-02-04 13:00:00,1399,1386
2021-02-04 14:00:00,1332,1320
2021-02-04 15:00:00,1198,1190
2021-02-04 16:00:00,1181,1167
2021-02-04 17:00:00,1253,1243
2021-02-04 18:00:00,1481,1464
2021-02-04 19:00:00,1418,1404
2021-02-04 20:00:00,551,537
2021-02-04 21:00:00,57,56
2021-02-04 22:00:00,25,25
2021-02-04 23:00:00,16,16
2021-02-05 00:00:00,5,4
2021-02-05 05:00:00,1,1
2021-02-05 06:00:00,71,71
2021-02-05 07:00:00,756,751
2021-02-05 08:00:00,1031,1024
2021-02-05 09:00:00,1028,1017
2021-02-05 10:00:00,977,966
2021-02-05 11:00:00,1251,1236
2021-02-05 12:00:00,1399,1381
2021-02-05 13:00:00,1026,1013
2021-02-05 14:00:00,1615,1599
2021-02-05 15:00:00,1386,1368
2021-02-05 16:00:00,1385,1372
2021-02-05 17:00:00,1391,1371
2021-02-05 18:00:00,1673,1657
2021-02-05 19:00:00,1674,1662
2021-02-05 20:00:00,665,656
2021-02-05 21:00:00,67,66
2021-02-05 22:00:00,19,18
2021-02-05 23:00:00,9,8
2021-02-06 00:00:00,1,1
2021-02-06 03:00:00,1,1
2021-02-06 05:00:00,2,2
2021-02-06 06:00:00,10,10
2021-02-06 07:00:00,40,39
2021-02-06 08:00:00,35,34
2021-02-06 09:00:00,59,58
2021-02-06 10:00:00,100,98
2021-02-06 11:00:00,119,119
2021-02-06 12:00:00,161,159
2021-02-06 13:00:00,259,258
2021-02-06 14:00:00,306,300
2021-02-06 15:00:00,254,252
2021-02-06 16:00:00,313,310
2021-02-06 17:00:00,142,138
2021-02-06 18:00:00,64,61
2021-02-06 19:00:00,25,25
2021-02-06 20:00:00,10,10
2021-02-06 21:00:00,15,15
2021-02-06 22:00:00,13,12
2021-02-06 23:00:00,13,11
2021-02-07 01:00:00,1,1
2021-02-07 02:00:00,1,1
