_id,tarih,deger,birim
462,2014-03-29T00:00:00,28800,Ton
463,2014-03-30T00:00:00,12570,Ton
464,2014-03-31T00:00:00,36055,Ton
465,2014-01-04T00:00:00,31380,Ton
466,2014-02-04T00:00:00,31720,Ton
467,2014-03-04T00:00:00,33135,Ton
468,2014-04-04T00:00:00,28465,Ton
469,2014-05-04T00:00:00,31500,Ton
470,2014-06-04T00:00:00,17515,Ton
471,2014-07-04T00:00:00,37825,Ton
472,2014-08-04T00:00:00,32725,Ton
473,2014-09-04T00:00:00,30410,Ton
474,2014-10-04T00:00:00,29940,Ton
475,2014-11-04T00:00:00,29005,Ton
476,2014-12-04T00:00:00,30725,Ton
477,2014-04-13T00:00:00,16435,Ton
478,2014-04-14T00:00:00,38430,Ton
479,2014-04-15T00:00:00,34965,Ton
480,2014-04-16T00:00:00,28535,Ton
481,2014-04-17T00:00:00,29400,Ton
482,2014-04-18T00:00:00,29525,Ton
483,2014-04-19T00:00:00,26145,Ton
484,2014-04-20T00:00:00,16310,Ton
485,2014-04-21T00:00:00,37855,Ton
486,2014-04-22T00:00:00,33290,Ton
487,2014-04-23T00:00:00,30510,Ton
488,2014-04-24T00:00:00,27915,Ton
489,2014-04-25T00:00:00,30900,Ton
490,2014-04-26T00:00:00,29090,Ton
491,2014-04-27T00:00:00,15410,Ton
492,2014-04-28T00:00:00,39335,Ton
493,2014-04-29T00:00:00,31835,Ton
494,2014-04-30T00:00:00,29545,Ton
495,2014-01-05T00:00:00,28210,Ton
496,2014-02-05T00:00:00,28525,Ton
497,2014-03-05T00:00:00,29660,Ton
498,2014-04-05T00:00:00,16490,Ton
499,2014-05-05T00:00:00,32465,Ton
500,2014-06-05T00:00:00,32065,Ton
501,2014-07-05T00:00:00,29755,Ton
502,2014-08-05T00:00:00,28565,Ton
503,2014-09-05T00:00:00,28045,Ton
504,2014-10-05T00:00:00,30015,Ton
505,2014-11-05T00:00:00,16540,Ton
506,2014-12-05T00:00:00,39420,Ton
507,2014-05-13T00:00:00,34775,Ton
508,2014-05-14T00:00:00,29220,Ton
509,2014-05-15T00:00:00,30695,Ton
510,2014-05-16T00:00:00,29720,Ton
511,2014-05-17T00:00:00,30075,Ton
512,2014-05-18T00:00:00,17730,Ton
513,2014-05-19T00:00:00,35345,Ton
514,2014-05-20T00:00:00,38900,Ton
515,2014-05-21T00:00:00,31035,Ton
516,2014-05-22T00:00:00,31880,Ton
517,2014-05-23T00:00:00,28170,Ton
518,2014-05-24T00:00:00,27705,Ton
519,2014-05-25T00:00:00,16420,Ton
