_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
576,2020-01-25T00:00:00,17,2634,2602
577,2020-01-25T00:00:00,18,2422,2394
578,2020-01-25T00:00:00,19,1858,1828
579,2020-01-25T00:00:00,20,1147,1128
580,2020-01-25T00:00:00,21,750,737
581,2020-01-25T00:00:00,22,634,626
582,2020-01-25T00:00:00,23,290,290
583,2020-01-26T00:00:00,0,68,68
584,2020-01-26T00:00:00,1,4,4
585,2020-01-26T00:00:00,2,6,6
586,2020-01-26T00:00:00,3,2,2
587,2020-01-26T00:00:00,6,7,7
588,2020-01-26T00:00:00,7,146,145
589,2020-01-26T00:00:00,8,458,452
590,2020-01-26T00:00:00,9,712,698
591,2020-01-26T00:00:00,10,841,833
592,2020-01-26T00:00:00,11,1349,1329
593,2020-01-26T00:00:00,12,1993,1963
594,2020-01-26T00:00:00,13,2259,2232
595,2020-01-26T00:00:00,14,2349,2315
596,2020-01-26T00:00:00,15,2267,2239
597,2020-01-26T00:00:00,16,2379,2337
598,2020-01-26T00:00:00,17,2420,2386
599,2020-01-26T00:00:00,18,2079,2030
600,2020-01-26T00:00:00,19,1518,1500
601,2020-01-26T00:00:00,20,1130,1117
602,2020-01-26T00:00:00,21,1018,1008
603,2020-01-26T00:00:00,22,699,687
604,2020-01-26T00:00:00,23,282,277
605,2020-01-27T00:00:00,0,57,56
606,2020-01-27T00:00:00,1,3,3
607,2020-01-27T00:00:00,2,4,4
608,2020-01-27T00:00:00,3,1,1
609,2020-01-27T00:00:00,5,4,4
610,2020-01-27T00:00:00,6,117,116
611,2020-01-27T00:00:00,7,1816,1802
612,2020-01-27T00:00:00,8,2351,2325
613,2020-01-27T00:00:00,9,2293,2261
614,2020-01-27T00:00:00,10,2257,2226
615,2020-01-27T00:00:00,11,2889,2843
616,2020-01-27T00:00:00,12,3559,3514
617,2020-01-27T00:00:00,13,3111,3071
618,2020-01-27T00:00:00,14,3182,3145
619,2020-01-27T00:00:00,15,2869,2834
620,2020-01-27T00:00:00,16,2875,2836
