ilce,mahalle,mahalle_turu
EREĞLI,AŞAĞIGÖNDELEN,KIRSAL MAHALLE                   
EREĞLI,AŞIKLAR,KIRSAL MAHALLE                   
EREĞLI,BAHÇELI,KIRSAL MAHALLE                   
EREĞLI,BELCEAĞAÇ,KIRSAL MAHALLE                   
EREĞLI,BEYKÖY,KIRSAL MAHALLE                   
EREĞLI,BEYÖREN,KIRSAL MAHALLE                   
EREĞLI,BULGURLUK,KIRSAL MAHALLE                   
EREĞLI,BURHANIYE,KIRSAL MAHALLE                   
EREĞLI,BÜYÜKDEDE,KIRSAL MAHALLE                   
EREĞLI,ÇAKMAK,KIRSAL MAHALLE                   
EREĞLI,ÇILLER,KIRSAL MAHALLE                   
EREĞLI,ÇIMENCIK,KIRSAL MAHALLE                   
EREĞLI,GAYBI,KIRSAL MAHALLE                   
EREĞLI,GÖKÇEYAZI,KIRSAL MAHALLE                   
EREĞLI,GÖKTÖME,KIRSAL MAHALLE                   
EREĞLI,HACIMEMIŞ,KIRSAL MAHALLE                   
EREĞLI,KAMIŞLIKUYU,KIRSAL MAHALLE                   
EREĞLI,KARABURUN,KIRSAL MAHALLE                   
EREĞLI,KARGACI,KIRSAL MAHALLE                   
EREĞLI,KIZILGEDIK,KIRSAL MAHALLE                   
EREĞLI,KUSKUNCUK,KIRSAL MAHALLE                   
EREĞLI,KUZUKUYU,KIRSAL MAHALLE                   
EREĞLI,MELICEK,KIRSAL MAHALLE                   
EREĞLI,ORHANIYE,KIRSAL MAHALLE                   
EREĞLI,ÖZGÜRLER,KIRSAL MAHALLE                   
EREĞLI,PINARÖZÜ,KIRSAL MAHALLE                   
EREĞLI,SARICA,KIRSAL MAHALLE                   
EREĞLI,SARITOPALLI,KIRSAL MAHALLE                   
EREĞLI,SERVILI,KIRSAL MAHALLE                   
EREĞLI,TAŞAĞIL,KIRSAL MAHALLE                   
EREĞLI,TAŞBUDAK,KIRSAL MAHALLE                   
EREĞLI,TATLIKUYU,KIRSAL MAHALLE                   
EREĞLI,TÜRKMEN,KIRSAL MAHALLE                   
EREĞLI,ULUMEŞE,KIRSAL MAHALLE                   
EREĞLI,YAZLIK,KIRSAL MAHALLE                   
EREĞLI,YELLICE,KIRSAL MAHALLE                   
EREĞLI,YENIKÖY,KIRSAL MAHALLE                   
EREĞLI,YILDIZLI,KIRSAL MAHALLE                   
EREĞLI,YUKARIGÖNDELEN,KIRSAL MAHALLE                   
GÜNEYSINIR,AYDOĞMUŞ,MAHALLE
GÜNEYSINIR,BARDAS,MAHALLE
GÜNEYSINIR,EMIRHAN,MAHALLE
